SUBN	TRIAL	BLOCK	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
130703	11	5	TEST	cash	genius	0	case	0	
130703	12	5	TEST	kid	spoil	0	red	0	
130703	13	5	TEST	wrap	suede	0	tarp	0	
130703	14	5	TEST	chapel	wart	10	peep	0	
130703	15	5	TEST	biology	temper	5	tangle	0	
130703	16	5	TEST	factor	spike	0	science	0	
130703	17	5	TEST	mission	thesis	10	deck	0	
130703	18	5	TEST	taxi	nag	5	beat	0	
130703	19	5	TEST	quit	defrost	5	chill	0	
130703	20	5	TEST	remind	foam	5	road	0	
130703	21	5	TEST	link	crisis	10	loan	0	
